Cidades,Desmatamento Caatinga por ha (2023),Desmatamento Cerrado por ha (2023),Áreas Queimadas por ha (2024),Emissões de GEE (ton/ano) (2023),cluster
Dom Inocêncio,2.368314078507844e-05,1.7643137768718224e-05,0.16499914575735974,0.0,4
Domingos Mourão,4.1324192421969595e-07,1.5481759602192662e-05,0.002673416973498795,0.0,4
Elesbão Veloso,0.0,0.0,0.17982248247079427,240697.9789,1
Eliseu Martins,1.1022144490294137e-05,1.1421273831971507e-06,0.346832363202434,0.0,4
Esperantina,0.0,0.0,0.3592139955191098,261100.2486,0
Fartura do Piauí,6.451196696987291e-06,0.00011815670326010926,0.07797771812758222,0.0,2
Flores do Piauí,6.189798662538726e-05,1.1283286276075582e-05,0.2106146596825457,151725.142,3
Floresta do Piauí,1.2544859071949247e-05,4.783965429952642e-07,0.20998525979059046,6251.334518,1
Floriano,0.0,0.0,0.42459246374464166,379289.45196900005,0
Francinópolis,0.0,0.0,0.1786609056806002,21123.85553,1
Francisco Ayres,2.1935336456072204e-05,0.0,0.11460314558817929,35145.63882,1
Francisco Macedo,5.578956177299227e-05,0.0,0.5998605260955676,0.0,3
Francisco Santos,6.76566617431038e-05,0.00011815670326010926,0.19259129077939255,13449.52575,2
Fronteiras,6.330587934053802e-05,0.00011815670326010926,0.24401585735075193,0.0,2
Geminiano,3.0185698787578928e-05,6.102027661902017e-09,0.3684827260636487,0.0,4
Gilbués,0.0,3.5164115316795647e-06,0.1537871185447688,379289.45196900005,1
Guadalupe,0.0,0.0,0.5413100719992129,172527.2129,0
Guaribas,5.772503704824947e-06,3.628365887581773e-06,0.017086803383072002,0.0,4
Hugo Napoleão,0.0,0.0,0.08649214286668479,85477.77645,1
Ilha Grande,3.6238588699728594e-05,0.0,0.09972242783123611,2049.954107,1
Inhuma,2.4840987015217407e-05,0.0,0.16363279500972172,62257.26816,1
Ipiranga do Piauí,1.888870210061256e-05,8.76823864741782e-06,0.42876919328242197,9492.011443,0
Isaías Coelho,4.271326659073197e-05,0.0,0.14831981995483884,8633.744154,1
Itainópolis,3.2986153065416494e-05,0.0,0.11487083444092701,0.0,4
Itaueira,2.893297611482985e-05,2.5549272639075018e-05,0.23708083889187093,324354.2504,1
Jacobina do Piauí,6.665187180048523e-05,1.0010927045815102e-05,0.5259537440508143,0.0,3
Jaicós,3.703327687969838e-05,0.00011815670326010926,0.17032503910990923,0.0,2
Jardim do Mulato,0.0,0.0,0.35084609565173086,111431.7958,0
Jatobá do Piauí,0.0,0.00011815670326010926,0.1818153024402169,47922.11315,2
Jerumenha,0.0,9.722342481537456e-06,0.5622065554090699,265128.7289,0
João Costa,6.7769118390427884e-06,4.6731284369219494e-05,0.09251640068213507,0.0,4
Joaquim Pires,0.0,1.0530529909082437e-05,0.46781304983654287,209351.8452,0
Joca Marques,0.0,0.00011815670326010926,0.07470193189550604,91512.3597,2
José de Freitas,0.0,0.0,0.2733694281263733,210049.6589,0
Juazeiro do Piauí,1.603585188859573e-06,1.4488275557940741e-05,0.12100162069009755,24486.91684,1
Júlio Borges,2.998638540216027e-05,0.0,0.11708546353499763,52154.35563,1
Jurema,1.8712442437617982e-05,0.0,0.18527747485810386,14011.40099,1
Lagoa Alegre,0.0,0.00011815670326010926,0.5776951617910095,35584.13125,2
Lagoa de São Francisco,1.8010933397597697e-05,0.0,0.14140459912989434,113310.3573,1
Lagoa do Barro do Piauí,1.7805826336845666e-05,8.082659078529704e-07,0.29274979808793977,0.0,4
Lagoa do Piauí,0.0,0.00010815678448607724,0.2050128320287437,14071.40838,2
Lagoa do Sítio,7.654708998937573e-05,0.0,0.6731827945428326,60845.07483,3
Lagoinha do Piauí,0.0,4.0471343895416e-05,0.04122702846395981,75331.09256,1
Landri Sales,0.0,1.15145504660646e-05,0.4151248917170303,160646.0627,0
Luís Correia,2.234362257152752e-05,2.1040868775904636e-05,0.25755558907098935,79368.95996,0
Luzilândia,0.0,0.0,0.2734027400832484,118276.3332,0
Madeiro,0.0,0.00011815670326010926,0.06774303575222822,47880.11485,2
Manoel Emídio,7.654708998937573e-05,0.0,0.2840591256673453,379289.45196900005,3
Marcolândia,3.582237948328045e-05,0.00011815670326010926,0.3321677657070168,8069.703948,2
Marcos Parente,0.0,0.00011815670326010926,0.4692214237632415,76785.8953,2
Massapê do Piauí,4.5457203269146254e-05,4.259209384177498e-06,0.28546897310103003,0.0,4
Matias Olímpio,0.0,7.080813347443614e-05,0.2941380602773552,57027.4176,2
Miguel Alves,0.0,8.792255267673903e-06,0.027635345440022177,212933.9046,1
Miguel Leão,0.0,0.0,0.3158812572260523,43395.22806,0
Milton Brandão,3.28462915772942e-06,4.834360670614333e-05,0.14993446019029463,0.0,4
Monsenhor Gil,0.0,8.294801086185126e-06,0.03014780077448803,82894.17972,1
Monsenhor Hipólito,3.760259781655909e-05,9.317333408040483e-05,0.09225710215953463,13708.67028,2
Monte Alegre do Piauí,0.0,1.308254865801102e-05,0.05729975651345133,357885.7929,1
Morro Cabeça no Tempo,7.654708998937573e-05,0.00011815670326010926,0.1620343368402171,63246.35559,2
Morro do Chapéu do Piauí,0.0,0.00010241830110715938,0.42553683223307587,125467.9409,2
Murici dos Portelas,0.0,6.7786409442529216e-06,0.2832115530143782,79130.07914,0
Nazaré do Piauí,1.2387514904916326e-05,2.079265061660186e-05,0.29396576030082666,281118.0329,0
Nazária,0.0,0.0,0.33971565445835267,156477.3609,0
Nossa Senhora de Nazaré,0.0,8.8228611855231e-05,0.013462810195252077,23631.83427,2
Nossa Senhora dos Remédios,0.0,1.5379435506404095e-05,0.10287122516038179,62036.90205,1
Nova Santa Rita,2.0916285419827883e-05,8.794834719512613e-05,0.08261780622392596,48013.96729,2
Novo Oriente do Piauí,4.5058034748756396e-07,1.4096326621188089e-05,0.4126903701968134,31042.84066,0
Novo Santo Antônio,0.0,0.0,0.02243015339949348,125728.6873,1
Oeiras,7.654708998937573e-05,0.0,0.7488034661165592,58740.50708,3
Olho D'Água do Piauí,0.0,0.0,0.09371178631914344,0.0,4
Padre Marcos,3.213928017978066e-05,0.00011815670326010926,0.2929968757629965,0.0,2
Paes Landim,9.017580228600725e-06,6.870485180265482e-05,0.09094158735755516,0.0,4
Pajeú do Piauí,3.2954203538402024e-05,0.0,0.11893078184465478,379289.45196900005,1
Palmeira do Piauí,0.0,4.84931404224496e-05,0.3891203028055302,309865.0622,0
Palmeirais,0.0,0.0,0.2504810759827266,0.0,4
Paquetá,3.003956765187699e-06,1.2213697412893272e-05,0.030264018635031205,379289.45196900005,1
Parnaguá,7.654708998937573e-05,0.0,0.46117480379119585,232723.7322,3
Parnaíba,2.3941818272271332e-05,1.6091740414722042e-05,0.028389866081284028,296287.5866,1
Passagem Franca do Piauí,0.0,0.0,0.12293627550682988,0.0,4
