Cluster,Número do Cluster,Perfil,Nome do Cluster,tx_distorcao_fundamental,taxa_escolas_por_habitante,ideb_ano_inicial,Total_alfabetização,Taxa de abandonos EF
0,1,Emergência Educacional,Cluster 1: Emergência Educacional,23.599999999999998,0.6612670275784043,4.5774706524706525,76.10772727272727,1.856060606060606
1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,14.5010101010101,0.4921972441659705,5.5768996268996265,79.59727272727272,0.4454545454545455
2,3,Contradição Educacional,Cluster 3: Contradição Educacional,10.616949152542373,0.7235046407592128,6.0728813559322035,73.2328813559322,0.17966101694915254
