Cidades,PC01 - Mortalidade infantil ≤ 1 ano,PC03 - % Crianças alfabetizadas na idade certa,PC04 - % Vacinação infantil BCG,PC05 - % Atendimento do ensino infantil,cluster
Massapê do Piauí,0,45.94,74.51,67.6,1
Matias Olímpio,3,24.43,85.44,68.76,1
Miguel Alves,5,39.04,93.72,58.46,0
Miguel Leão,0,47.32,106.67,70.93,3
Milton Brandão,0,37.5,35.71,57.38,1
Monsenhor Gil,1,60.33,64.42,61.87,1
Monsenhor Hipólito,3,100.0,71.43,75.68,2
Monte Alegre do Piauí,0,67.16,127.11,58.86,3
Morro Cabeça no Tempo,0,23.7,100.0,87.1,3
Morro do Chapéu do Piauí,1,28.84,119.18,76.13,3
Murici dos Portelas,0,66.93,86.42,46.6,1
Nazaré do Piauí,1,46.93,71.26,61.23,1
Nazária,0,77.65,65.25,53.41,1
Nossa Senhora de Nazaré,0,21.74,73.58,76.77,1
Nossa Senhora dos Remédios,1,64.19,58.78,121.53,2
Nova Santa Rita,0,48.03,80.85,57.19,1
Novo Oriente do Piauí,0,69.0,58.0,59.03,1
Novo Santo Antônio,0,48.49,85.71,92.35,2
Oeiras,5,65.92,76.03,69.06,0
Olho D'Água do Piauí,0,62.5,84.38,73.45,1
Padre Marcos,1,86.44,84.85,96.88,2
Paes Landim,0,51.76,87.76,51.92,1
Pajeú do Piauí,0,66.01,61.29,71.2,1
Palmeira do Piauí,0,70.83,82.76,72.27,2
Palmeirais,2,50.9,103.27,63.27,3
Paquetá,0,100.0,81.48,65.37,2
Parnaguá,1,67.67,85.42,39.37,1
Parnaíba,7,31.0,103.81,46.17,0
Passagem Franca do Piauí,0,100.0,58.33,84.44,2
Patos do Piauí,1,81.59,90.24,82.57,2
Pau D'Arco do Piauí,0,100.0,63.83,58.45,2
Paulistana,5,45.07,86.62,65.66,0
Pavussu,0,66.32,86.67,65.41,1
Pedro II,5,25.09,66.19,65.07,0
Pedro Laurentino,0,37.77,95.65,53.81,1
Picos,10,52.95,84.34,56.72,0
Pimenteiras,0,60.51,87.85,52.89,1
Pio IX,3,35.27,101.93,62.62,3
Piracuruca,4,75.64,100.0,58.35,0
Piripiri,7,33.16,75.93,61.22,0
Porto,0,40.12,73.12,85.56,1
Porto Alegre do Piauí,0,73.86,91.18,61.28,1
