Cidades,tx_acesso_agua_rede_geral,tx_tratamento_esgoto,tx_cobertura_coleta_residuos,destino_correto,banheiro_no_domicílio,drenagem e manejo de águas pluviais,politica_municipal_baseamento,cluster
jacobina do piaui,44.94,0.05,45.59,0,89.94,0,1,3
jaicos,39.01,6.7,55.71,0,90.14,0,0,3
jardim do mulato,94.48,1.82,47.49,0,94.13,0,1,3
jatoba do piaui,61.83,0.61,34.49,0,91.19,1,1,3
jerumenha,76.76,2.28,63.95,0,91.9,0,0,0
joao costa,77.97,5.23,32.47,1,93.06,0,1,3
joaquim pires,72.67,9.23,37.05,0,77.96,0,0,3
joca marques,69.67,0.12,36.08,0,76.92,0,1,3
jose de freitas,65.31,12.59,63.78,0,91.06,1,1,1
juazeiro do piaui,74.2,0.06,44.85,0,85.77,1,1,3
julio borges,56.07,0.0,47.88,1,81.29,1,1,3
jurema,44.55,0.26,40.38,0,92.26,0,0,3
lagoa alegre,40.62,7.07,87.89,0,96.93,0,1,0
lagoa de sao francisco,69.44,0.4,35.91,0,78.52,0,0,3
lagoa do barro do piaui,28.42,3.02,33.71,0,90.81,0,1,2
lagoa do piaui,86.61,1.82,32.11,0,89.23,0,1,3
lagoa do sitio,89.75,0.76,64.66,0,90.89,1,0,0
lagoinha do piaui,97.63,1.58,52.16,0,94.75,0,1,0
landri sales,84.89,4.57,84.17,1,95.6,0,1,0
luis correia,49.22,0.82,54.03,0,86.18,1,1,3
luzilandia,60.38,1.83,63.51,0,87.16,1,0,3
madeiro,68.39,0.44,47.53,0,75.24,1,1,3
manoel emidio,74.26,0.69,69.0,0,96.65,0,1,0
marcolandia,0.25,0.14,87.85,0,82.81,0,1,2
marcos parente,93.79,12.43,88.37,0,94.63,0,1,1
massape do piaui,32.61,8.04,26.03,0,81.23,0,1,2
matias olimpio,62.87,1.22,40.15,0,80.64,0,1,3
miguel alves,51.92,2.9,31.79,0,64.86,1,1,2
miguel leao,66.01,1.23,68.32,0,94.58,0,1,0
milton brandao,58.98,0.05,36.69,0,82.04,0,0,3
monsenhor gil,81.05,3.56,62.25,0,94.42,1,1,0
monsenhor hipolito,51.74,9.26,66.63,0,90.1,0,1,1
monte alegre do piaui,76.41,0.49,41.62,0,85.43,1,1,3
morro cabeca no tempo,12.15,0.0,40.08,1,73.45,1,0,2
morro do chapeu do piaui,77.05,0.72,43.44,0,78.44,0,0,3
murici dos portelas,55.39,9.99,42.76,0,79.27,0,1,2
nazare do piaui,83.61,0.34,53.22,0,90.04,0,1,3
nazaria,73.48,1.04,45.41,0,87.66,0,0,3
nossa senhora de nazare,57.77,0.53,46.0,0,94.74,0,0,3
nossa senhora dos remedios,55.59,0.55,33.43,1,62.57,0,1,2
nova santa rita,62.32,0.15,57.81,0,92.99,0,0,3
novo oriente do piaui,94.24,0.04,39.79,0,89.75,0,1,3
novo santo antonio,61.59,2.69,73.73,0,94.82,0,0,0
oeiras,88.62,35.98,60.83,1,93.96,1,0,1
olho d'agua do piaui,64.77,0.67,53.83,0,80.73,0,1,3
padre marcos,56.83,0.68,63.92,0,97.04,0,1,0
paes landim,78.57,4.07,58.13,0,96.44,0,1,0
pajeu do piaui,63.54,1.73,37.8,0,88.97,0,0,3
palmeira do piaui,73.88,0.12,49.27,0,82.64,0,1,3
palmeirais,81.08,1.21,70.94,0,94.43,0,0,0
paqueta,52.94,0.39,46.38,0,83.75,0,0,3
parnagua,57.48,2.77,94.08,1,98.23,0,0,0
parnaiba,91.85,31.21,63.97,1,88.18,1,1,1
passagem franca do piaui,80.95,36.37,44.7,0,85.54,0,1,1
patos do piaui,56.34,8.92,22.88,0,82.02,0,1,2
pau d'arco do piaui,58.53,4.97,62.49,0,87.85,1,1,3
paulistana,64.33,3.22,51.56,0,89.58,0,1,3
pavussu,73.61,1.77,70.85,0,93.36,0,1,0
pedro ii,65.3,2.24,44.11,0,98.28,0,1,3
pedro laurentino,69.83,0.25,30.54,0,93.0,1,1,3
picos,87.22,51.26,96.27,1,98.53,0,0,1
pimenteiras,79.81,0.23,48.47,1,87.77,1,0,3
pio ix,36.52,13.09,56.87,0,86.53,0,1,2
piracuruca,68.27,4.89,76.8,1,94.32,1,1,0
piripiri,80.63,14.28,85.18,1,95.27,1,1,1
porto,63.95,28.61,58.92,0,77.71,1,1,1
porto alegre do piaui,70.83,37.89,70.69,0,92.71,0,1,1
prata do piaui,89.18,0.09,83.14,0,92.76,0,0,0
queimada nova,25.75,0.24,30.98,0,90.35,0,1,2
redencao do gurgueia,92.85,0.78,55.91,0,91.57,0,1,3
regeneracao,61.22,3.46,75.92,1,86.02,0,0,3
riacho frio,63.47,1.16,57.65,1,82.04,0,0,3
ribeira do piaui,63.01,0.5,62.8,0,89.96,0,1,3
ribeiro goncalves,75.03,35.1,69.63,0,87.25,0,1,1
rio grande do piaui,92.01,0.19,63.41,0,90.69,0,0,0
santa cruz do piaui,69.78,3.45,74.36,0,93.97,0,1,0
santa cruz dos milagres,87.47,1.1,80.73,0,95.0,0,1,0
santa filomena,44.95,6.01,64.32,0,84.98,0,1,3
santa luz,77.25,0.41,76.26,0,96.79,0,0,0
santa rosa do piaui,92.97,0.0,90.66,0,94.86,1,0,0
santana do piaui,97.86,4.21,76.65,0,96.28,0,1,0
santo antonio de lisboa,86.19,1.77,80.61,0,92.93,0,1,0
santo antonio dos milagres,59.24,1.82,62.28,0,93.56,0,1,3
santo inacio do piaui,76.82,3.75,65.57,0,96.32,0,1,0
sao braz do piaui,1.51,0.2,54.2,0,79.66,1,1,2
sao felix do piaui,72.69,0.19,82.57,1,99.32,0,1,0
sao francisco de assis do piaui,43.29,0.11,33.8,0,80.69,0,0,2
sao francisco do piaui,78.0,2.64,51.84,1,89.63,0,1,3
sao goncalo do gurgueia,86.44,1.18,48.12,1,84.18,0,1,3
sao goncalo do piaui,94.45,0.77,89.34,0,97.26,0,0,0
sao joao da canabrava,94.5,0.83,57.92,0,95.72,0,0,0
sao joao da fronteira,47.02,17.29,60.0,0,92.39,0,1,1
sao joao da serra,56.86,3.09,67.74,0,88.55,0,1,3
sao joao da varjota,94.29,0.34,35.59,0,92.72,0,1,3
sao joao do arraial,92.34,0.51,49.28,1,85.28,0,1,3
sao joao do piaui,85.72,6.06,77.1,0,94.92,0,1,0
sao jose do divino,70.58,2.46,87.12,0,94.01,0,1,0
sao jose do peixe,67.82,0.0,70.84,0,91.98,0,1,0
sao jose do piaui,95.45,0.35,82.81,1,94.97,1,1,0
sao juliao,76.81,1.78,74.46,0,89.84,0,1,0
sao lourenco do piaui,32.08,0.4,33.51,0,78.21,0,1,2
sao luis do piaui,98.56,0.6,59.25,0,95.43,0,1,0
sao miguel da baixa grande,84.26,8.67,62.49,0,85.75,0,0,3
sao miguel do fidalgo,70.25,6.77,57.78,0,92.91,0,1,3
sao miguel do tapuio,75.31,5.12,55.15,0,84.46,0,1,3
sao pedro do piaui,86.82,0.57,80.75,0,96.73,0,1,0
sao raimundo nonato,69.22,10.84,69.62,0,87.67,1,0,1
sebastiao barros,43.79,0.2,41.3,0,74.24,1,0,2
sebastiao leal,77.69,1.73,51.48,0,94.87,1,1,3
sigefredo pacheco,61.27,0.18,57.75,0,90.25,0,1,3
simoes,48.09,32.9,53.37,1,76.43,0,1,1
simplicio mendes,83.31,14.83,72.0,0,96.86,0,1,1
socorro do piaui,69.61,2.27,54.43,0,96.07,0,1,0
sussuapara,87.79,1.41,91.5,0,98.09,0,1,0
tamboril do piaui,82.29,0.1,47.88,0,82.39,0,1,3
tanque do piaui,91.15,0.11,74.13,0,94.94,0,1,0
teresina,94.15,40.17,95.91,1,99.0,1,1,1
uniao,56.85,31.29,50.31,0,81.48,0,1,1
urucui,87.76,9.56,78.36,1,92.32,0,1,1
valenca do piaui,91.68,1.97,83.14,0,98.72,0,1,0
varzea branca,21.97,0.66,27.25,0,55.1,0,1,2
varzea grande,83.24,0.43,73.08,0,92.11,0,1,0
vera mendes,69.53,1.47,46.75,0,93.28,1,1,3
vila nova do piaui,37.69,0.37,57.91,1,93.23,0,0,3
wall ferraz,80.06,7.34,46.05,0,94.31,0,0,3
