Cidades,Cluster,Número do Cluster,Perfil,Nome do Cluster,tx_distorcao_fundamental,taxa_escolas_por_habitante,ideb_ano_inicial,Total_alfabetização,Taxa de abandonos EF
Canto do Buriti,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,20.0,0.4131164471985541,4.4,78.63,1.2
Capitão Gervásio Oliveira,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,17.7,0.5032712632108707,5.4,76.49,0.2
Capitão de Campos,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,12.4,0.4504504504504504,5.3,77.06,0.7
Caracol,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,43.4,0.3876720294630742,3.5,70.49,5.6
Caraúbas do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,18.5,0.5328596802841918,5.5,68.74,2.4
Caridade do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,13.4,0.5960659646334194,5.8,75.15,0.4
Castelo do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,8.5,0.6221484861053506,6.7,76.96,0.0
Caxingó,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,21.4,0.727802037845706,3.8,70.4,2.3
Cocal,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,17.3,0.4962427335885438,6.5,73.29,0.1
Cocal de Telha,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,14.3,0.2036245163917735,5.3,75.37,0.0
Cocal dos Alves,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,6.5,0.6263701847792046,7.8,69.24,0.2
Coivaras,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,14.8,0.7286859363614282,5.7,77.95,1.0
Colônia do Gurguéia,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,17.9,0.6504065040650406,4.5,83.69,1.6
Colônia do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,4.6,0.8578781812982557,6.1,74.89,0.0
Conceição do Canindé,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,14.3,0.6082725060827251,4.9,77.35,0.0
Coronel José Dias,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,12.5,0.4705882352941176,5.5,75.22,0.3
Corrente,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,20.5,0.6598724246645649,4.5,86.72,1.7
Cristalândia do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,21.1,0.6797172376291464,4.7,79.27,1.1
Cristino Castro,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,29.3,0.6664762448824145,4.2,82.02,2.6
Curimatá,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,12.4,0.709849157054126,5.5,87.41,0.7
Currais,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,28.4,0.8240626287597858,5.2,79.39,1.8
Curral Novo do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.2,0.3942440370589395,5.7,73.78,0.9
Curralinhos,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,16.9,0.4532064355313845,4.8,78.62,0.7
Demerval Lobão,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,8.1,0.4892367906066536,7.4,85.44,0.0
Dirceu Arcoverde,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,30.8,0.5670541536716757,4.2,76.19,1.5
