Cidades,Cluster,Número do Cluster,Perfil,Nome do Cluster,tx_distorcao_fundamental,taxa_escolas_por_habitante,ideb_ano_inicial,Total_alfabetização,Taxa de abandonos EF
São Lourenço do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,13.7,1.1337868480725624,4.7,83.69,1.0
São Luis do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,7.9,0.8661758336942399,6.6,73.55,0.0
São Miguel da Baixa Grande,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,18.2,0.881445570736007,6.3,70.82,0.3
São Miguel do Fidalgo,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,25.2,0.3534817956875221,5.3,77.3,0.5
São Miguel do Tapuio,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,1.2,0.5696707303178763,5.0,71.42,0.0
São Pedro do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,13.0,0.5089058524173028,4.8,76.66,0.2
São Raimundo Nonato,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,11.5,0.4623208506703652,5.4,85.82,0.5
Tamboril do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.9,0.339097999321804,4.8,73.75,0.0
Tanque do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,19.2,0.4317789291882556,6.6,81.07,0.0
Teresina,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,9.1,0.1985455384970564,6.4,92.88,0.2
União,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,18.7,0.5637589713567077,5.6,77.02,0.0
Uruçuí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,18.8,0.2777447129310003,4.7,86.7,0.9
Valença do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,17.6,0.4937384981372593,4.6,81.96,1.2
Vera Mendes,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,21.5,0.3139717425431711,4.9,68.31,1.2
Vila Nova do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,9.4,0.6814310051107325,7.1,73.1,0.0
Várzea Branca,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,26.2,0.791295746785361,4.5,73.5,3.5
Várzea Grande,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,11.2,0.6791940230925968,5.6,78.27,0.5
Wall Ferraz,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,17.1,0.602937164274104,5.6,71.13,0.2
Água Branca,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,5.9,0.3983383599840664,6.8,84.94,0.0
