Cidades,SA02 - Mortalidade prematura (30-69 anos) por DCNT,SA03 - Penta / Dose: D3 / Idade: <1 Ano,SA04 - Mortalidade infantil ≤ 1 ano,SA05  - Nº de exames especializados,cluster
Luzilândia,2.894954508,0.987261,6,1065,3
Madeiro,2.79798545,1.008621,0,207,1
Manoel Emídio,2.307692308,0.9,0,126,1
Marcolândia,2.92786798,1.337423,0,1064,2
Marcos Parente,4.886717015,1.0,0,120,0
Massapê do Piauí,2.666666667,0.921569,0,336,1
Matias Olímpio,2.125398512,1.006329,3,914,1
Miguel Alves,2.256679042,1.090909,5,1489,3
Miguel Leão,1.639344262,1.8,0,143,2
Milton Brandão,1.551831161,0.814286,0,192,1
Monsenhor Gil,2.626262626,1.057692,1,215,1
Monsenhor Hipólito,5.444646098,1.154762,3,169,0
Monte Alegre do Piauí,2.775998292,0.807229,0,402,1
Morro Cabeça no Tempo,1.47275405,0.883333,0,255,1
Morro do Chapéu do Piauí,1.343183345,1.082192,1,244,1
Murici dos Portelas,1.614763552,1.148148,0,332,2
Nazaré do Piauí,4.567600487,0.83908,1,259,0
Nazária,1.683501684,0.397163,0,207,1
Nossa Senhora de Nazaré,4.110612855,0.981132,0,317,0
Nossa Senhora dos Remédios,2.452316076,1.091603,1,381,1
Nova Santa Rita,1.506024096,0.957447,0,135,1
Novo Oriente do Piauí,4.190844616,1.08,0,94,0
Novo Santo Antônio,2.772002772,0.657143,0,212,1
Oeiras,2.951910691,0.908497,5,8787,3
Olho D'Água do Piauí,6.441223833,0.96875,0,216,0
Padre Marcos,3.990178023,1.151515,1,471,0
Paes Landim,1.560874089,1.081633,0,104,1
Pajeú do Piauí,5.040957782,0.806452,0,191,0
Palmeira do Piauí,4.70890411,0.965517,0,195,0
Palmeirais,3.286770748,0.921569,2,69,0
Paquetá,2.491280518,1.148148,0,96,2
Parnaguá,2.029769959,0.944444,1,372,1
Parnaíba,2.444408416,0.844187,7,62,3
Passagem Franca do Piauí,1.041666667,0.666667,0,237,1
Patos do Piauí,3.442340792,1.219512,1,216,2
Pau D'Arco do Piauí,2.678093198,0.978723,0,65,1
Paulistana,2.127228525,1.089172,5,1379,3
Pavussu,3.227541689,0.844444,0,191,1
Pedro II,2.116048558,0.909278,5,4010,3
Pedro Laurentino,0.8216926869,1.086957,0,64,1
Picos,3.493202417,0.848548,10,10356,3
Pimenteiras,2.376599634,0.953271,0,424,1
Pio IX,2.482856467,0.94686,3,962,1
Piracuruca,3.298436828,1.002725,4,1945,3
Piripiri,2.968100728,0.851995,7,34925,3
Porto,2.677651905,1.043011,0,331,1
Porto Alegre do Piauí,0.9233610342,0.794118,0,165,1
Prata do Piauí,2.752924983,0.882353,0,136,1
Queimada Nova,2.091078067,1.158416,0,598,2
Redenção do Gurguéia,2.137894174,0.908397,0,571,1
Regeneração,4.05654579,0.9163,4,610,0
Riacho Frio,3.129890454,0.818182,0,246,1
Ribeira do Piauí,3.5,1.025,1,210,0
Ribeiro Gonçalves,2.5,0.942529,0,205,1
Rio Grande do Piauí,2.763385147,0.939394,1,64,1
Santa Cruz do Piauí,3.691275168,0.954545,0,312,0
Santa Cruz dos Milagres,4.558404558,0.933333,0,2,0
Santa Filomena,5.789270552,0.905263,0,176,0
Santa Luz,3.55450237,1.031746,0,617,0
Santa Rosa do Piauí,5.170185265,0.976744,2,3,0
Santana do Piauí,2.811621368,1.205128,0,76,2
Santo Antônio de Lisboa,2.444987775,1.015625,0,191,1
Santo Antônio dos Milagres,3.167898627,1.705882,0,87,2
Santo Inácio do Piauí,2.602811036,1.333333,0,54,2
São Braz do Piauí,4.132231405,1.051724,1,76,0
São Félix do Piauí,2.044989775,1.076923,0,139,1
São Francisco de Assis do Piauí,3.703703704,1.052632,2,135,0
São Francisco do Piauí,2.899601305,0.803922,1,261,1
São Gonçalo do Gurguéia,3.676470588,0.744186,0,306,0
São Gonçalo do Piauí,7.572383073,1.06383,0,115,0
São João da Canabrava,4.149377593,1.3,0,144,2
São João da Fronteira,2.770083102,0.966667,0,655,1
São João da Serra,4.266491631,1.206897,0,349,0
São João da Varjota,4.719207173,1.125,0,45,0
São João do Arraial,1.668520578,0.968,0,349,1
São João do Piauí,2.981218325,0.923304,3,4162,3
São José do Divino,1.211142511,0.971014,1,449,1
São José do Peixe,1.19760479,0.72973,0,2,1
São José do Piauí,3.352636391,1.078947,0,203,0
São Julião,3.30141961,0.840909,0,131,1
São Lourenço do Piauí,3.992901508,0.909091,1,85,0
São Luis do Piauí,3.398470688,1.095238,1,209,0
São Miguel da Baixa Grande,3.472222222,1.1,1,114,0
São Miguel do Fidalgo,1.485884101,1.36,0,327,2
São Miguel do Tapuio,2.691947566,1.082759,1,2337,1
São Pedro do Piauí,3.184713376,1.068063,2,502,0
São Raimundo Nonato,3.109147439,1.019272,3,1437,0
Sebastião Barros,2.762430939,1.076923,0,234,1
Sebastião Leal,2.328830927,1.018519,0,213,1
Sigefredo Pacheco,1.906779661,1.173913,1,813,2
Simões,1.865381626,1.391026,2,605,2
Simplício Mendes,2.912479977,0.864516,0,2029,1
Socorro do Piauí,0.4892367906,0.934783,0,3,1
Sussuapara,3.180661578,0.842697,3,329,1
Tamboril do Piauí,3.521126761,1.107143,0,101,0
Tanque do Piauí,2.595155709,0.909091,1,79,1
União,2.785247791,0.972477,4,1086,1
Uruçuí,2.861486184,1.0,6,1917,3
Valença do Piauí,2.379273881,0.809129,1,3369,1
Várzea Branca,2.090301003,0.902778,0,173,1
Várzea Grande,2.240143369,1.255814,0,256,2
Vera Mendes,1.819284415,1.051282,0,193,1
Vila Nova do Piauí,2.493765586,1.0,0,390,1
Wall Ferraz,1.405810684,0.787234,0,185,1
Teresina,2.770346214,0.904577,113,16326,Outlier
