"Tabela 9543 - Taxa de alfabetização das pessoas de 15 anos ou mais de idade por sexo, cor ou raça e grupos de idade"
"Variável - Taxa de alfabetização das pessoas de 15 anos ou mais de idade (%)"
"Município";"Idade";"Ano x Sexo x Cor ou raça"
"Mata Roma (MA)";"Total";"79,03"
"Matinha (MA)";"Total";"84,67"
"Matões (MA)";"Total";"75,39"
"Matões do Norte (MA)";"Total";"80,80"
"Milagres do Maranhão (MA)";"Total";"70,66"
"Mirador (MA)";"Total";"76,05"
"Miranda do Norte (MA)";"Total";"85,55"
"Mirinzal (MA)";"Total";"87,74"
"Monção (MA)";"Total";"79,55"
"Montes Altos (MA)";"Total";"84,12"
"Morros (MA)";"Total";"81,23"
"Nina Rodrigues (MA)";"Total";"80,37"
"Nova Colinas (MA)";"Total";"82,33"
"Nova Iorque (MA)";"Total";"80,57"
"Nova Olinda do Maranhão (MA)";"Total";"78,67"
"Olho d'Água das Cunhãs (MA)";"Total";"73,82"
"Olinda Nova do Maranhão (MA)";"Total";"81,45"
"Paço do Lumiar (MA)";"Total";"95,87"
"Palmeirândia (MA)";"Total";"80,16"
"Paraibano (MA)";"Total";"76,38"
"Parnarama (MA)";"Total";"74,30"
"Passagem Franca (MA)";"Total";"74,87"
"Pastos Bons (MA)";"Total";"82,91"
"Paulino Neves (MA)";"Total";"78,92"
"Paulo Ramos (MA)";"Total";"73,21"
"Pedreiras (MA)";"Total";"84,70"
"Pedro do Rosário (MA)";"Total";"79,58"
"Penalva (MA)";"Total";"83,19"
"Peri Mirim (MA)";"Total";"84,68"
"Peritoró (MA)";"Total";"74,95"
"Pindaré-Mirim (MA)";"Total";"84,27"
"Pinheiro (MA)";"Total";"85,91"
"Pio XII (MA)";"Total";"75,13"
"Pirapemas (MA)";"Total";"76,46"
"Poção de Pedras (MA)";"Total";"74,66"
"Porto Franco (MA)";"Total";"89,05"
"Porto Rico do Maranhão (MA)";"Total";"86,98"
"Presidente Dutra (MA)";"Total";"83,73"
"Presidente Juscelino (MA)";"Total";"79,30"
"Presidente Médici (MA)";"Total";"81,20"
"Presidente Sarney (MA)";"Total";"79,65"
"Presidente Vargas (MA)";"Total";"80,29"
"Primeira Cruz (MA)";"Total";"79,69"
"Raposa (MA)";"Total";"89,72"
"Riachão (MA)";"Total";"84,99"
"Ribamar Fiquene (MA)";"Total";"83,47"
"Rosário (MA)";"Total";"86,60"
"Sambaíba (MA)";"Total";"80,30"
"Santa Filomena do Maranhão (MA)";"Total";"76,39"
"Santa Helena (MA)";"Total";"82,17"
"Santa Inês (MA)";"Total";"87,59"
"Santa Luzia (MA)";"Total";"76,92"
"Santa Luzia do Paruá (MA)";"Total";"83,93"
"Santa Quitéria do Maranhão (MA)";"Total";"75,91"
"Santa Rita (MA)";"Total";"84,42"
"Santana do Maranhão (MA)";"Total";"71,80"
"Santo Amaro do Maranhão (MA)";"Total";"82,32"
"Santo Antônio dos Lopes (MA)";"Total";"76,92"
"São Benedito do Rio Preto (MA)";"Total";"79,04"
"São Bento (MA)";"Total";"84,23"
"São Bernardo (MA)";"Total";"77,54"
"São Domingos do Azeitão (MA)";"Total";"79,36"
"São Domingos do Maranhão (MA)";"Total";"78,91"
"São Félix de Balsas (MA)";"Total";"77,44"
"São Francisco do Brejão (MA)";"Total";"80,98"
"São Francisco do Maranhão (MA)";"Total";"74,84"
"São João Batista (MA)";"Total";"81,74"
"São João do Carú (MA)";"Total";"71,79"
"São João do Paraíso (MA)";"Total";"86,65"
"São João do Soter (MA)";"Total";"72,85"
"São João dos Patos (MA)";"Total";"83,23"
"São José de Ribamar (MA)";"Total";"95,16"
"São José dos Basílios (MA)";"Total";"75,30"
"São Luís (MA)";"Total";"96,01"
"São Luís Gonzaga do Maranhão (MA)";"Total";"73,30"
"São Mateus do Maranhão (MA)";"Total";"78,47"
"São Pedro da Água Branca (MA)";"Total";"80,54"
"São Pedro dos Crentes (MA)";"Total";"91,07"
"São Raimundo das Mangabeiras (MA)";"Total";"86,22"
"São Raimundo do Doca Bezerra (MA)";"Total";"77,63"
"São Roberto (MA)";"Total";"74,69"
"São Vicente Ferrer (MA)";"Total";"78,72"
"Satubinha (MA)";"Total";"74,43"
"Senador Alexandre Costa (MA)";"Total";"75,07"
"Senador La Rocque (MA)";"Total";"79,92"
"Serrano do Maranhão (MA)";"Total";"79,30"
"Sítio Novo (MA)";"Total";"82,99"
"Sucupira do Norte (MA)";"Total";"80,06"
"Sucupira do Riachão (MA)";"Total";"76,19"
"Tasso Fragoso (MA)";"Total";"86,72"
"Timbiras (MA)";"Total";"71,20"
"Timon (MA)";"Total";"88,32"
"Trizidela do Vale (MA)";"Total";"83,31"
"Tufilândia (MA)";"Total";"76,32"
"Tuntum (MA)";"Total";"78,11"
"Turiaçu (MA)";"Total";"84,28"
"Turilândia (MA)";"Total";"82,45"
"Tutóia (MA)";"Total";"77,66"
"Urbano Santos (MA)";"Total";"78,53"
"Vargem Grande (MA)";"Total";"77,57"
"Viana (MA)";"Total";"86,21"
"Vila Nova dos Martírios (MA)";"Total";"79,29"
"Vitória do Mearim (MA)";"Total";"81,39"
"Vitorino Freire (MA)";"Total";"76,60"
"Zé Doca (MA)";"Total";"80,77"
"Acauã (PI)";"Total";"83,11"
"Agricolândia (PI)";"Total";"78,97"
"Água Branca (PI)";"Total";"84,94"
"Alagoinha do Piauí (PI)";"Total";"66,39"
"Alegrete do Piauí (PI)";"Total";"70,79"
"Alto Longá (PI)";"Total";"71,75"
"Altos (PI)";"Total";"83,02"
"Alvorada do Gurguéia (PI)";"Total";"82,52"
"Amarante (PI)";"Total";"77,91"
"Angical do Piauí (PI)";"Total";"81,85"
"Anísio de Abreu (PI)";"Total";"77,16"
"Antônio Almeida (PI)";"Total";"83,05"
"Aroazes (PI)";"Total";"75,91"
"Aroeiras do Itaim (PI)";"Total";"65,37"
"Arraial (PI)";"Total";"76,25"
"Assunção do Piauí (PI)";"Total";"68,70"
"Avelino Lopes (PI)";"Total";"81,10"
"Baixa Grande do Ribeiro (PI)";"Total";"85,09"
"Barra D'Alcântara (PI)";"Total";"78,09"
"Barras (PI)";"Total";"75,04"
"Barreiras do Piauí (PI)";"Total";"83,83"
"Barro Duro (PI)";"Total";"76,64"
"Batalha (PI)";"Total";"74,75"
"Bela Vista do Piauí (PI)";"Total";"84,28"
"Belém do Piauí (PI)";"Total";"70,68"
"Beneditinos (PI)";"Total";"73,81"
"Bertolínia (PI)";"Total";"83,36"
"Betânia do Piauí (PI)";"Total";"71,36"
"Boa Hora (PI)";"Total";"71,66"
